nombre,ruta_completa,ruta_relativa,directorio_padre,tipo,extension,mime_type,tamano,fecha_modificacion,fecha_creacion,permisos,profundidad,categoria,dimension
19_2020_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\19_2020_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\19_2020_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,19.12 MB,2025-02-26 16:10:36,2025-03-06 17:24:45,666,4,Institucional,Tecnologías de la Información
19_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\19_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\19_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,4.36 MB,2025-02-26 15:34:49,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
19_2024_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\19_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\19_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,663.97 KB,2025-02-26 15:37:01,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
1_2023_fae.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\1_2023_fae.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\1_2023_fae.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.35 MB,2025-02-26 15:33:11,2025-03-06 17:24:50,666,4,Institucional,Tecnologías de la Información
1_2023_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\1_2023_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\1_2023_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,4.62 MB,2025-02-26 15:34:11,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
1_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\1_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\1_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.25 MB,2025-02-26 15:36:27,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
1_2024_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\1_2024_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\1_2024_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,5.28 MB,2025-02-26 16:10:02,2025-03-06 17:24:45,666,4,Institucional,Tecnologías de la Información
20_2021_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\20_2021_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\20_2021_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,19.20 MB,2025-02-26 16:10:38,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
20_2022_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\20_2022_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\20_2022_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,3.04 MB,2025-02-26 15:34:51,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
20_2024_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\20_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\20_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.99 MB,2025-02-26 15:37:02,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
21_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\21_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\21_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.79 MB,2025-02-26 15:34:53,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
21_2021_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\21_2021_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\21_2021_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,13.53 MB,2025-02-26 16:10:41,2025-03-06 17:24:44,666,4,Institucional,Tecnologías de la Información
21_2024_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\21_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\21_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.51 MB,2025-02-26 15:37:05,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
22_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\22_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\22_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,3.14 MB,2025-02-26 15:34:56,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
22_2022_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\22_2022_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\22_2022_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,38.03 MB,2025-02-26 16:10:44,2025-03-06 17:24:45,666,4,Institucional,Tecnologías de la Información
22_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\22_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\22_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,758.92 KB,2025-02-26 15:37:07,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
23_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\23_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\23_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,798.55 KB,2025-02-26 15:34:57,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
23_2021_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\23_2021_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\23_2021_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,6.84 MB,2025-02-26 16:10:46,2025-03-06 17:24:44,666,4,Institucional,Tecnologías de la Información
23_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\23_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\23_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.07 MB,2025-02-26 15:37:08,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
24_2020_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\24_2020_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\24_2020_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,16.68 MB,2025-02-26 16:10:48,2025-03-06 17:24:44,666,4,Institucional,Tecnologías de la Información
24_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\24_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\24_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,7.20 MB,2025-02-26 15:34:59,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
24_2024_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\24_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\24_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,997.40 KB,2025-02-26 15:37:10,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
25_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\25_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\25_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,7.66 MB,2025-02-26 15:35:01,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
25_2021_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\25_2021_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\25_2021_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,26.90 MB,2025-02-26 16:10:50,2025-03-06 17:24:45,666,4,Institucional,Tecnologías de la Información
25_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\25_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\25_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.63 MB,2025-02-26 15:37:12,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
26_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\26_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\26_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,3.95 MB,2025-02-26 15:35:03,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
26_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\26_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\26_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.99 MB,2025-02-26 15:37:14,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
27_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\27_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\27_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,9.93 MB,2025-02-26 15:35:05,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
27_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\27_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\27_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.76 MB,2025-02-26 15:37:15,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
28_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\28_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\28_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.13 MB,2025-02-26 15:35:07,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
28_2022_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\28_2022_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\28_2022_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.22 MB,2025-02-26 15:37:17,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
29_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\29_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\29_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.67 MB,2025-02-26 15:35:09,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
29_2022_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\29_2022_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\29_2022_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.41 MB,2025-02-26 15:37:19,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
2_2023_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\2_2023_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\2_2023_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,3.08 MB,2025-02-26 15:34:13,2025-03-06 17:24:50,666,4,Institucional,Tecnologías de la Información
2_2024_fae.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\2_2024_fae.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\2_2024_fae.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,11.15 MB,2025-02-26 15:33:13,2025-03-06 17:24:50,666,4,Institucional,Tecnologías de la Información
2_2024_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\2_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\2_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.83 MB,2025-02-26 15:36:30,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
2_2024_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\2_2024_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\2_2024_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.89 MB,2025-02-26 16:10:04,2025-03-06 17:24:45,666,4,Institucional,Tecnologías de la Información
30_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\30_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\30_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,5.89 MB,2025-02-26 15:35:11,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
30_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\30_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\30_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,889.74 KB,2025-02-26 15:37:21,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
31_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\31_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\31_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,809.88 KB,2025-02-26 15:35:13,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
31_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\31_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\31_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.01 MB,2025-02-26 15:37:22,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
32_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\32_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\32_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,6.45 MB,2025-02-26 15:35:15,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
32_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\32_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\32_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.34 MB,2025-02-26 15:37:24,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
33_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\33_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\33_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,4.50 MB,2025-02-26 15:35:17,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
33_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\33_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\33_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,4.45 MB,2025-02-26 15:37:26,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
34_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\34_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\34_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,54.32 MB,2025-02-26 15:35:20,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
34_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\34_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\34_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.97 MB,2025-02-26 15:37:28,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
35_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\35_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\35_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,20.91 MB,2025-02-26 15:35:23,2025-03-06 17:24:51,666,4,Institucional,Tecnologías de la Información
35_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\35_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\35_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,3.08 MB,2025-02-26 15:37:30,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
36_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\36_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\36_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.39 MB,2025-02-26 15:35:24,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
36_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\36_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\36_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,908.07 KB,2025-02-26 15:37:32,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
37_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\37_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\37_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,5.13 MB,2025-02-26 15:35:26,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
37_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\37_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\37_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.08 MB,2025-02-26 15:37:33,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
38_2021_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\38_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\38_2021_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.52 MB,2025-02-26 15:35:28,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
38_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\38_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\38_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1013.66 KB,2025-02-26 15:37:35,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
39_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\39_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\39_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,4.20 MB,2025-02-26 15:35:30,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
39_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\39_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\39_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.00 MB,2025-02-26 15:37:37,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
3_2023_fae.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\3_2023_fae.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\3_2023_fae.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.13 MB,2025-02-26 15:33:15,2025-03-06 17:24:52,666,4,Institucional,Tecnologías de la Información
3_2023_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\3_2023_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\3_2023_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,3.28 MB,2025-02-26 15:34:15,2025-03-06 17:24:49,666,4,Institucional,Tecnologías de la Información
3_2024_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\3_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\3_2024_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.20 MB,2025-02-26 15:36:32,2025-03-06 17:24:47,666,4,Institucional,Tecnologías de la Información
3_2024_fing.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\3_2024_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\3_2024_fing.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,13.88 MB,2025-02-26 16:10:06,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
40_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\40_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\40_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.50 MB,2025-02-26 15:35:32,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
40_2023_fhtcs.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\40_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\40_2023_fhtcs.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,1.44 MB,2025-02-26 15:37:39,2025-03-06 17:24:46,666,4,Institucional,Tecnologías de la Información
41_2020_fccot.pdf,streamlit_app\Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\41_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025\41_2020_fccot.pdf,Institucional\web scrapping\datos_repositorio_tesis\tesis_2019_2025,Archivo,.pdf,application/pdf,2.47 MB,2025-02-26 15:35:34,2025-03-06 17:24:48,666,4,Institucional,Tecnologías de la Información
